"Post Title",Post/Page,Domain,"Original Author","Original Post date","last edited Author","Last Modified Date","Number of Times Accessed","Total Hits"
Authentication,page,azure.yorkvilleu.test,anormoreyorkvilleu-ca,1970-01-01T00:33:37Z,anormoreyorkvilleu-ca,1970-01-01T00:33:38Z,0,"0 View"
"Network Search",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 View"
Blog2,page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 View"
"Search Results",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 View"
Blog,page,azure.yorkvilleu.test,Unknown,1970-01-01T00:33:37Z,Unknown,1970-01-01T00:33:37Z,0,"0 View"
News,page,azure.yorkvilleu.test,Unknown,1970-01-01T00:33:37Z,Unknown,1970-01-01T00:33:37Z,0,"0 View"
"Bachelor of Creative Arts/Program Founder",page,azure.yorkvilleu.test,ahenis,1970-01-01T00:33:37Z,ahenis,1970-01-01T00:33:38Z,0,"0 View"
"Ontario Admission Requirements",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 View"
Ontario,page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 View"
"Submit Event",page,azure.yorkvilleu.test,Unknown,1970-01-01T00:33:37Z,Unknown,1970-01-01T00:33:37Z,0,"0 View"
"YU Events",page,azure.yorkvilleu.test,Unknown,1970-01-01T00:33:37Z,Unknown,1970-01-01T00:33:37Z,0,"0 View"
"President's Message",page,azure.yorkvilleu.test,yclark,1970-01-01T00:33:37Z,yclark,1970-01-01T00:33:37Z,0,"0 View"
"Discover Yorkville University",page,azure.yorkvilleu.test,iekaputranta,1970-01-01T00:33:37Z,iekaputranta,1970-01-01T00:33:37Z,0,"0 View"
"Media Requests",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:36Z,andrewnormore,1970-01-01T00:33:36Z,0,"0 View"
"Professional Designations for Graduates",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:36Z,andrewnormore,1970-01-01T00:33:36Z,0,"0 View"
"UPS Canada Partnership",page,azure.yorkvilleu.test,ahenis,1970-01-01T00:33:36Z,ahenis,1970-01-01T00:33:36Z,0,"0 View"
"Application Started",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:36Z,andrewnormore,1970-01-01T00:33:36Z,0,"0 View"
"Apply Now",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:36Z,andrewnormore,1970-01-01T00:33:36Z,0,"0 View"
Submitted,page,azure.yorkvilleu.test,Unknown,1970-01-01T00:33:36Z,Unknown,1970-01-01T00:33:36Z,0,"0 View"
Forms,page,azure.yorkvilleu.test,Unknown,1970-01-01T00:33:36Z,Unknown,1970-01-01T00:33:36Z,0,"0 View"
Test,page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:35Z,andrewnormore,1970-01-01T00:33:35Z,0,"0 View"
"The Institute for Performance and Learning",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:35Z,andrewnormore,1970-01-01T00:33:35Z,0,"0 View"
"Canadian Forces Bursary",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Graduation Requirements",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:35Z,andrewnormore,1970-01-01T00:33:35Z,0,"0 View"
"Graduation Requirements",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:35Z,andrewnormore,1970-01-01T00:33:35Z,0,"0 View"
"Graduation Requirements",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:35Z,andrewnormore,1970-01-01T00:33:35Z,0,"0 View"
"Graduation Requirements",page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:35Z,andrewnormore,1970-01-01T00:33:35Z,0,"0 View"
"Online Campus",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Master of Education Tuition and Fees",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Master of Arts in Counselling Psychology Tuition and Fees",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Bachelor of Business Administration Tuition and Fees",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Master of Education Admissions Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Master of Arts in Counselling Psychology Admissions Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"New Brunswick Admission Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
